DIDA id, DEO1, DEO2, RecA, EssA, DEO3, DEO4, RecB, EssB, Path,DE,DE Predicted
dd021,0.0899065399,0.0899065399,0.1289,0,0.2364077179,0.2364077179,0.0899,0,0,TD, TD (100%)
dd005,0.2162677967,0,0.1996,1,0.414682686,0,0.4388,0,0,TD, TD (100%)
dd198,0.2617191914,0,0.1832,0.3919,0.412300676,0,0.1601,0,0,TD, TD (100%)
dd049,2,0,0.2097,0,0.3257617991,0,0.2499,1,0,CO, CO (99%)
dd001,0.936970543,0,0.3367,0,2,0,0.2975,1,1,CO, CO (100%)
dd043,0.8941592094,0,0.214,1,0.2444011403,0,0.3437,1,1,CO, CO (100%)
dd153,2,0.9167223175,0.3388,0,0.6951691061,0,0.203,0,0,TD, CO (88%)
dd200,0.8357648446,0,0.39,0,0.3570021058,0,0.1321,0.3919,0,TD, TD (100%)
dd157,0.9189568549,0,0.3388,0,2,0.617289866,0.2499,0,0,TD, CO (100%)
dd115,2,0.8488158931,0.2665,1,0.3873678519,0,0.535,1,1,TD, CO (100%)
dd011,0.8488158931,0.8488158931,0.2665,1,2,0,0.535,1,1,CO, CO (100%)
dd086,2,0.5284100533,0.1794,0,2,0,0.3277,1,0,CO, CO (100%)
dd046,0.2641552131,0,0.6346,1,2,0,0.299,1,0,CO, TD (58%)
dd204,0.7247444586,0.7247444586,0.2499,1,2,0,0.1834,0,0,TD, TD (100%)
dd084,2,0.7247444586,0.2499,1,2,0,0.1834,0,0,CO, TD (100%)
dd085,2,0.7247444586,0.2499,1,2,0,0.1834,0,0,CO, TD (100%)
dd173,0.6184368798,0,0.5737,0,2,0,0.1601,0,0,TD, TD (100%)
dd174,0.579414777,0,0.5737,0,2,0,0.1601,0,0,TD, TD (100%)
dd175,0.7039124488,0,0.5737,0,0.3667433371,0,0.1601,0,0,TD, TD (100%)
dd176,0.579414777,0,0.5737,0,0.1599941869,0,0.1601,0,0,TD, TD (100%)
dd177,0.579414777,0,0.5737,0,0.1081925235,0,0.1601,0,0,TD, TD (100%)
dd178,0.579414777,0,0.5737,0,0.2219887277,0,0.1601,0,0,TD, TD (100%)
