gene,essentiality_sapiens
BCC6,Nonessential
ABCC9,Essential
ALAD,N/A
ARL6,Essential
ATP2B2,Essential
ATP2B3,N/A
BAAT,N/A
BBS1,Essential
BBS10,Essential
BBS12,Nonessential
BBS2,Essential
BBS4,Essential
BBS5,Nonessential
BBS7,Essential
BBS9,N/A
BMP15,Nonessential
BMPR2,Essential
C10orf2,N/A
C2orf71,N/A
CAV3,Nonessential
CCDC28B,N/A
CD2AP,Essential
CDH23,Nonessential
CDK5RAP2,Essential
CEP152,Nonessential
CEP290,Essential
CEP41,N/A
CHD7,Essential
COL17A1,Essential
COL4A3,Essential
COL4A4,Essential
COL4A5,Essential
CPOX,Nonessential
CPT2,Essential
CYP1B1,Nonessential
DFNB31,N/A
DISP1,Essential
DSP,Essential
DUSP6,Essential
DYNC2H1,Essential
EDA,Essential
EDNRB,Essential
EMD,Nonessential
EYS,N/A
F5,Essential
FGA,Essential
FGFR1,Essential
FGG,Essential
FIGLA,Essential
FLRT3,Essential
FOXC1,Essential
FOXI1,Essential
FOXL2,Essential
FZD4,Essential
GALT,Nonessential
GDAP1,Nonessential
GDF9,Essential
GDNF,Essential
GGCX,Essential
GJB2,Essential
GJB3,Essential
GNRHR,Essential
GPR98,Nonessential
HAMP,Nonessential
HFE,Nonessential
HMBS,Essential
HNF1A,Essential
HNF4A,Essential
IL10RA,Nonessential
IL17RD,Nonessential
ITGA7,Essential
JUP,Essential
KAL1,N/A
KCNA5,Nonessential
KCNE1,Nonessential
KCNE2,Nonessential
KCNH2,Essential
KCNJ10,Essential
KCNQ1,Nonessential
KISS1R,Essential
KRT14,Essential
KRT5,Essential
LAMA1,Essential
LAMB3,Essential
LMBRD1,Essential
LMNA,Essential
LRP5,Essential
MAN1B1,N/A
MEFV,Essential
MFN2,Essential
MITF,Essential
MKKS,Essential
MTR,Essential
MYH7,N/A
MYH7B,N/A
MYO6,Nonessential
MYO7A,Essential
MYOC,Nonessential
NEK1,Essential
NEUROD1,Essential
NEXN,N/A
NLRP3,Essential
NOBOX,Essential
NOD2,Nonessential
NPHS1,Essential
NPHS2,Essential
NSMF,N/A
OCA2,Essential
OTUD4,N/A
PARK2,Essential
PARK7,Nonessential
PCDH15,Nonessential
PDE3A,Essential
PDX1,Essential
PDZD7,Nonessential
PINK1,Nonessential
PITX2,Essential
POLG,Essential
PRF1,Essential
PROK2,Nonessential
PROKR2,Essential
PRPH2,Nonessential
PSMA3,N/A
PSMB4,N/A
PSMB8,Nonessential
PSMB9,Nonessential
PYGM,Nonessential
RAB27A,Nonessential
RBM20,Nonessential
REC8,Essential
RET,Essential
RNF216,Essential
ROM1,Nonessential
RP1L1,Nonessential
SCN1A,Essential
SCN2A,N/A
SCN5A,Essential
SEC23A,Essential
SHH,Essential
SLC26A4,Nonessential
SLC3A1,Essential
SLC45A2,Essential
SLC7A9,Nonessential
SMC1B,Essential
SPRY4,Essential
STX11,Nonessential
STXBP2,Essential
TACR3,Nonessential
TEK,Essential
TJP2,Essential
TMPRSS3,Nonessential
TNFRSF1A,Nonessential
TRAPPC9,N/A
TRIM54,Essential
TRIM63,Nonessential
TTC8,Essential
TTN,Essential
TYR,Essential
UNC13D,Nonessential
UROD,Essential
USH1C,Nonessential
USH2A,Nonessential
WDR11,N/A
WNT10A,Nonessential
WT1,Essential
