gene,essentiality_sapiens
ABCC6,Nonessential
ABCC9,Nonessential
ALAD,Conditional
ARL6,Nonessential
ATP2B2,Nonessential
ATP2B3,Nonessential
BAAT,Nonessential
BBS1,Nonessential
BBS10,Conditional
BBS12,Nonessential
BBS2,Nonessential
BBS4,Nonessential
BBS5,Nonessential
BBS7,Conditional
BBS9,Nonessential
BMP15,Conditional
BMPR2,Conditional
C10orf2,Conditional
C2orf71,Nonessential
CAV3,Nonessential
CCDC28B,Nonessential
CD2AP,Nonessential
CDH23,Nonessential
CDK5RAP2,Conditional
CEP152,Conditional
CEP290,Nonessential
CEP41,N/A
CHD7,Conditional
COL17A1,Conditional
COL4A3,Nonessential
COL4A4,Nonessential
COL4A5,Nonessential
CPOX,Conditional
CPT2,Nonessential
CYP1B1,Conditional
DFNB31,Nonessential
DISP1,Nonessential
DSP,Nonessential
DUSP6,Conditional
DYNC2H1,Nonessential
EDA,Nonessential
EDNRB,Conditional
EMD,Nonessential
EYS,Nonessential
F5,Nonessential
FGA,Nonessential
FGFR1,Conditional
FGG,Conditional
FIGLA,Nonessential
FLRT3,Nonessential
FOXC1,Nonessential
FOXI1,Nonessential
FOXL2,Nonessential
FZD4,Nonessential
GALT,Nonessential
GDAP1,Nonessential
GDF9,Nonessential
GDNF,Conditional
GGCX,Nonessential
GJB2,Conditional
GJB3,Nonessential
GNRHR,Nonessential
GPR98,Nonessential
HAMP,Nonessential
HFE,Nonessential
HMBS,Conditional
HNF1A,Nonessential
HNF4A,Conditional
IL10RA,Conditional
IL17RD,Nonessential
ITGA7,Nonessential
JUP,Conditional
KAL1,Nonessential
KCNA5,Conditional
KCNE1,Nonessential
KCNE2,Nonessential
KCNH2,Nonessential
KCNJ10,Nonessential
KCNQ1,Nonessential
KISS1R,Nonessential
KRT14,Nonessential
KRT5,Nonessential
LAMA1,Nonessential
LAMB3,Nonessential
LMBRD1,Nonessential
LMNA,Conditional
LRP5,Conditional
MAN1B1,Nonessential
MEFV,Nonessential
MFN2,Conditional
MITF,Nonessential
MKKS,Nonessential
MTR,Conditional
MYH7,Nonessential
MYH7B,Nonessential
MYO6,Nonessential
MYO7A,Conditional
MYOC,Nonessential
NEK1,Conditional
NEUROD1,Conditional
NEXN,Nonessential
NLRP3,Nonessential
NOBOX,Nonessential
NOD2,Nonessential
NPHS1,Nonessential
NPHS2,Conditional
NSMF,N/A
OCA2,Nonessential
OTUD4,Nonessential
PARK2,Nonessential
PARK7,Nonessential
PCDH15,Nonessential
PDE3A,Conditional
PDX1,Conditional
PDZD7,Conditional
PINK1,Conditional
PITX2,Conditional
POLG,Conditional
PRF1,Nonessential
PROK2,Nonessential
PROKR2,Nonessential
PRPH2,Nonessential
PSMA3,Essential
PSMB4,Essential
PSMB8,Nonessential
PSMB9,Nonessential
PYGM,Conditional
RAB27A,Nonessential
RBM20,Conditional
REC8,Conditional
RET,Nonessential
RNF216,Nonessential
ROM1,Nonessential
RP1L1,Nonessential
SCN1A,Nonessential
SCN2A,Nonessential
SCN5A,Nonessential
SEC23A,Conditional
SHH,Conditional
SLC26A4,Nonessential
SLC3A1,Nonessential
SLC45A2,Conditional
SLC7A9,Nonessential
SMC1B,Nonessential
SPRY4,Nonessential
STX11,Nonessential
STXBP2,Nonessential
TACR3,Nonessential
TEK,Conditional
TJP2,Nonessential
TMPRSS3,Nonessential
TNFRSF1A,Conditional
TRAPPC9,Conditional
TRIM54,Nonessential
TRIM63,Nonessential
TTC8,Nonessential
TTN,Conditional
TYR,Nonessential
UNC13D,Nonessential
UROD,Conditional
USH1C,Nonessential
USH2A,Nonessential
WDR11,Conditional
WNT10A,Nonessential
WT1,Nonessential
