CADD1,CADD2,RecA,EssA,CADD3,CADD4,RecB,EssB,Path,GenePair,Type
2.819812,0.0,0.7664522503396779,1.0,11.366191,0.0,N/A,N/A,0,ENG/ASXL3,Distinct
3.705321,0.0,0.17331610025786903,0.0,7.08488,0.0,0.559056807961552,1.0,1,SLC26A1/CACNA1A,Overlapping
3.713686,0.0,0.20079224670596696,0.0,4.532255,0.0,0.113767183058891,1.0,0,MYO1F/FBN1,Distinct
5.658066000000002,0.0,0.450518506292035,1.0,1.320816,0.0,0.213878698171464,1.0,0,SOX10/GDF6,Overlapping
4.297717,0.0,0.21408525707241,1.0,6.597932000000001,0.0,0.516365676569641,1.0,0,SCN1A/SMARCA2,Overlapping
7.134717,0.0,0.239842844796396,0.0,8.776734,0.0,0.107360998190337,1.0,0,SLC6A1/ANKRD11,Overlapping
3.04257,0.0,0.8357653230264319,1.0,3.989005,0.0,0.908456721160018,1.0,0,SOX9/NF1,Distinct
10.77899,0.0,0.25081517219782995,0.0,2.540059,0.0,0.231155550740046,N/A,0,SMC1A/MYH2,Distinct
10.137813,7.155611,N/A,1.0,6.078869,0.0,0.299625069792424,N/A,0,CLCN1/SETBP1,Distinct
0.782101,0.0,N/A,1.0,4.908936,-0.032748,0.109795569095931,1.0,0,ACTG1/WFS1,Overlapping
6.240871,0.0,0.178598969188943,1.0,5.072541,2.975482,0.7217440674668131,1.0,0,GNAO1/ACADM,Distinct
6.28779,0.0,N/A,0.0,4.268765,4.268765,N/A,0.0,0,KIF5C/NRXN1,Overlapping
5.969171,0.0,0.908456721160018,1.0,11.179158,11.179158,N/A,1.0,0,NF1/GALNT3,Distinct
2.328162,0.0,0.25451050661208,1.0,7.905850999999998,2.495704,0.22441488606980897,0.0,0,SCN8A/MAN2B1,Overlapping
7.222103999999999,0.0,0.875803524025226,1.0,6.750037,5.689983,0.893151270609593,1.0,0,TGFB2/TYR,Distinct
13.86265,13.86265,0.204551750275816,1.0,-1.130517,0.0,N/A,N/A,0,ECEL1/ARHGEF10,Distinct
5.413374,0.0,0.320561604958662,0.0,5.396431,4.99961,0.7977930127490501,N/A,1,NLRC4/SERPINA1,Distinct
7.613164999999999,0.0,0.14172857409880601,0.0,6.047161,6.047161,0.6760281592653521,1.0,1,CPOX/ABCA1,Overlapping
10.726534,0.0,0.0990671444920074,0.0,6.272062,0.0,0.12031435951967401,1.0,0,BRWD3/CHD8,Overlapping
4.427217,0.0,0.9895163408215,N/A,5.200633,0.0,0.126455109157384,N/A,1,G6PD/ARID1B,Distinct
3.568276,0.0,0.24974449115933198,1.0,6.203487,0.0,0.559509183537796,1.0,0,DNM1L/PDHA1,Overlapping
3.717966000000001,0.0,0.25081517219782995,0.0,10.564686,0.0,0.15462930084572502,0.0,0,SMC1A/EFHC1,Overlapping
5.70919,0.0,0.21408525707241,1.0,4.502333,4.502333,0.559509183537796,1.0,0,SCN1A/PDHA1,Overlapping
5.0682839999999985,0.0,0.11567649853086999,N/A,7.00558,0.0,0.351052812346565,1.0,0,MED13L/HUWE1,Distinct
6.534411,6.534411,0.563162384104817,1.0,3.43081,0.0,0.175353800974806,0.0,0,ATRX/COL9A1,Distinct
6.67069,6.67069,0.4274120696419121,1.0,7.095051,7.095051,0.24792614798726503,1.0,0,PCCA/AGL,Distinct
6.99527,6.99527,0.180354020065052,N/A,4.827067,4.827067,0.08046577443670098,1.0,0,MCCC2/HEXB,Distinct
5.387121,5.387121,0.9619456133480501,0.0,7.0094460000000005,7.0094460000000005,0.48162703085243397,1.0,0,MMP2/TPO,Distinct
4.70155,4.70155,N/A,0.0,5.778517,5.778517,0.24792614798726503,1.0,0,LPAR6/AGL,Distinct
9.5087,9.5087,0.16810705652597402,1.0,4.832137,4.832137,0.15914620877412802,0.0,0,PAPSS2/TRDN,Distinct
6.168946,0.0,0.694289378627023,1.0,5.596815,5.596815,0.26819835491445804,1.0,0,MECP2/F7,Distinct
