DidaID,CADD1,CADD2,RecA,EssA,CADD3,CADD4,RecB,EssB,Distance,Path,CoExp,AllelicState,DE,Pair,Orphanet,Name
dd001,4.301835,0.0,0.34,0,3.5945660000000004,0.0,0.3,1,1.11,1,1,2,CO,KCNQ1/KCNH2,768,Familial long QT syndrome
dd002,-0.106983,0.0,0.16,1,5.409467,0.0,0.51,1,1.25,1,0,2,TD,GJB3/GJB2,87884,Non-syndromic genetic deafness
dd003,-0.724535,0.0,0.16,1,5.409467,0.0,0.51,1,1.25,1,0,2,TD,GJB3/GJB2,87884,Non-syndromic genetic deafness
dd004,-0.724535,0.0,0.16,1,4.71189,0.0,0.51,1,1.25,1,0,2,TD,GJB3/GJB2,87884,Non-syndromic genetic deafness
dd005,-1.701666,0.0,0.2,1,2.796133,0.0,0.44,0,1.25,0,1,2,TD,FOXI1/SLC26A4,87884,Non-syndromic genetic deafness
dd006,3.2131279999999998,0.0,0.18,1,4.221526,4.221526,0.2,0,14.51,0,1,3,CO,ATP2B2/CDH23,87884,Non-syndromic genetic deafness
dd007,2.035732,0.0,0.18,0,5.755788,0.0,0.2,0,1.23,0,1,2,TD,PCDH15/CDH23,886,Usher syndrome
dd008,4.671952,0.0,0.18,0,4.33649,0.0,0.2,0,1.23,0,1,2,TD,PCDH15/CDH23,886,Usher syndrome
dd009,2.035732,0.0,0.18,0,3.728343,0.0,0.2,0,1.23,0,1,2,CO,PCDH15/CDH23,886,Usher syndrome
dd010,4.890472,0.0,0.09,1,2.647904,0.0,0.11,1,13.06,0,0,2,TD,NEK1/DYNC2H1,1505,Short rib-polydactyly syndrome
dd011,4.4170940000000005,4.4170940000000005,0.27,1,4.278734,0.0,0.54,1,1.11,1,0,3,CO,NPHS2/NPHS1,656,Familial idiopathic steroid-resistant nephrotic syndrome
dd012,2.232576,0.0,0.21,0.67,3.643036,0.0,0.13,1,10.83,0,0,2,UK,KAL1/PROKR2,478,Kallmann syndrome
dd013,2.402044,0.0,0.24,0.67,4.361532,0.0,0.79,1,6.06,0,0,2,CO,NSMF/FGFR1,478,Kallmann syndrome
dd014,2.436953,5.47245,0.24,1,3.162876,0.0,0.79,1,4.72,0,1,3,UK,GNRHR/FGFR1,174590,Congenital hypogonadotropic hypogonadism
dd015,3.114676,0.0,0.21,0.67,3.643036,0.0,0.13,1,10.83,0,0,2,UK,KAL1/PROKR2,478,Kallmann syndrome
dd016,4.556775,0.0,0.24,0.67,2.220736,0.0,0.21,0.62,12.84,0,0,2,UK,NSMF/KAL1,478,Kallmann syndrome
dd017,-0.859406,0.0,0.24,0.67,7.542547,0.0,0.14,0,17.89,0,0,2,UK,NSMF/TACR3,478,Kallmann syndrome
dd018,5.083552,0.0,0.79,1,3.643036,0.0,0.13,1,4.72,0,0,2,CO,FGFR1/PROKR2,478,Kallmann syndrome
dd019,3.369439,0.0,0.11,0.67,5.1112470000000005,5.1112470000000005,0.25,1,4.72,0,0,3,CO,BAAT/TJP2,238475,Familial hypercholanemia
dd020,3.369439,3.369439,0.11,0.67,5.1112470000000005,0.0,0.25,1,4.72,0,0,3,CO,BAAT/TJP2,238475,Familial hypercholanemia
dd021,3.603918,3.603918,0.13,0.67,5.0033389999999995,5.0033389999999995,0.09,1,12.58,0,0,4,TD,OTUD4/RNF216,174590,Congenital hypogonadotropic hypogonadism
dd022,0.89946,0.0,0.73,1,0.38366,0.0,0.68,1,5.69,0,1,2,TD,EDNRB/RET,388,Hirschsprung disease
dd023,-0.224473,0.0,0.54,0,5.214822,0.0,0.18,0,1.25,1,0,2,TD,PARK7/PINK1,2828,Young-onset Parkinson disease
dd024,5.35657,5.35657,0.48,1,-0.676093,0.0,0.18,0,1.74,1,0,3,CO,PARK2/PINK1,2828,Young-onset Parkinson disease
dd026,4.014044999999999,0.0,0.41,0,4.585069,0.0,0.62,0,18.89,0,1,2,CO,MYOC/CYP1B1,98977,Juvenile glaucoma
dd027,1.529561,0.0,0.41,0,4.585069,0.0,0.62,0,18.89,0,1,2,TD,MYOC/CYP1B1,98976,Congenital glaucoma
dd028,6.123654,0.0,0.42,1,5.013726,0.0,0.89,1,10.42,1,0,2,UK,MITF/TYR,352740,Ocular albinism with congenital sensorineural deafness
dd029,2.8568540000000002,5.013726,0.89,1,5.176749,0.0,0.37,1,71.37,1,0,3,CO,TYR/OCA2,55,Oculocutaneous albinism
dd030,0.0017460000000000002,0.0,0.89,1,0.9962340000000001,0.9962340000000001,0.37,1,71.37,1,0,3,CO,TYR/OCA2,55,Oculocutaneous albinism
dd031,9.115555,10.972158,0.28,1,5.5190779999999995,0.0,0.33,1,1.11,1,1,3,UK,COL17A1/LAMB3,305,Junctional epidermolysis bullosa
dd032,4.899462000000001,0.0,0.35,1,3.7133010000000004,0.0,0.42,1,1.11,1,1,2,CO,FGG/FGA,98881,Familial dysfibrinogenemia
dd033,3.9574239999999996,0.0,0.43,1,3.9834940000000003,4.418069999999999,0.27,0,1.11,1,1,3,CO,SLC3A1/SLC7A9,214,Cystinuria
dd034,3.9574239999999996,0.0,0.43,1,4.418069999999999,4.418069999999999,0.27,0,1.11,1,1,3,CO,SLC3A1/SLC7A9,214,Cystinuria
dd035,3.9574239999999996,0.0,0.43,1,4.418069999999999,0.0,0.27,0,1.11,1,1,2,CO,SLC3A1/SLC7A9,214,Cystinuria
dd036,4.16287,3.9574239999999996,0.43,1,4.418069999999999,0.0,0.27,0,1.11,1,1,3,CO,SLC3A1/SLC7A9,214,Cystinuria
dd037,4.5849779999999996,0.0,0.21,1,3.3458589999999995,0.0,0.1,1,1.11,1,0,2,CO,FZD4/LRP5,891,Familial exudative vitreoretinopathy
dd038,0.11939000000000001,0.0,0.54,0,4.333499,4.333499,0.99,1,23.44,1,0,3,CO,EMD/LMNA,261,Emery-Dreifuss muscular dystrophy
dd039,5.498673,0.0,0.54,0,0.08422400000000001,0.0,0.99,1,23.44,1,0,2,CO,EMD/LMNA,261,Emery-Dreifuss muscular dystrophy
dd040,3.7738,0.0,0.16,0,6.1836910000000005,0.0,0.09,1,6.91,0,1,2,CO,GDAP1/MFN2,166,Charcot-Marie-Tooth disease
dd041,4.361712000000001,0.0,0.56,0.67,5.088258000000001,0.0,0.14,0,13.25,1,1,2,CO,ALAD/CPOX,738,Porphyria
dd042,2.5557689999999997,0.0,0.15,0.67,5.366282,0.0,0.34,1,10.34,0,0,2,UK,C10orf2/POLG,254892,Autosomal dominant progressive external ophthalmoplegia
dd043,4.957761,0.0,0.21,1,1.483391,0.0,0.34,0.62,2.78,1,1,2,CO,SCN1A/SCN2A,36387,Generalized epilepsy with febrile seizures-plus
dd045,4.995379,0.0,0.14,1,8.761375,0.0,0.24600000000000002,0,11.83,0,1,2,UK,GGCX/ABCC6,758,Pseudoxanthoma elasticum
dd046,4.250074,0.0,0.63,1,4.008368,0.0,0.3,1,1.25,0,0,2,CO,PITX2/FOXC1,782,Axenfeld-Rieger syndrome
dd047,4.60991,0.0,0.59,1,3.957298,0.0,0.24600000000000002,1,1.25,1,1,2,CO,KRT5/KRT14,304,Epidermolysis bullosa simplex
dd048,5.10166,0.0,0.11,0,3.9966459999999997,0.0,0.26,1,11.25,0,1,2,CO,KCNE2/SCN5A,768,Familial long QT syndrome
dd049,5.905449,0.0,0.21,1,0.0,0.0,0.24600000000000002,1,10.0,0,0,2,CO,FZD4/F5,891,Familial exudative vitreoretinopathy
dd050,3.609721,0.0,0.69,1,2.338488,0.0,0.23,1,25.96,1,1,2,CO,HMBS/UROD,738,Porphyria
dd051,2.000251,0.0,0.54,0,3.3260129999999997,0.0,0.73,0,1.25,0,1,2,TD,HAMP/HFE,220489,Rare hereditary hemochromatosis
