DidaID,RecA,EssA,RecB,EssB,Path,CoExp,DE,Orphanet,Name,Pair,x,y
dd001,0.34,0.0,0.3,1.0,1,1,CO,768,Familial long QT syndrome,KCNQ1/KCNH2,0.8580854535102844,0.3338828384876251
dd002,0.16,1.0,0.51,1.0,1,0,TD,87884,Non-syndromic genetic deafness,GJB3/GJB2,0.4827277660369873,0.27950289845466614
dd003,0.16,1.0,0.51,1.0,1,0,TD,87884,Non-syndromic genetic deafness,GJB3/GJB2,0.48953109979629517,0.26518386602401733
dd004,0.16,1.0,0.51,1.0,1,0,TD,87884,Non-syndromic genetic deafness,GJB3/GJB2,0.48288536071777344,0.27897006273269653
dd005,0.2,1.0,0.44,0.0,0,1,TD,87884,Non-syndromic genetic deafness,FOXI1/SLC26A4,0.5112026929855347,0.8618589639663696
dd006,0.18,0.0,0.2,0.0,0,1,CO,87884,Non-syndromic genetic deafness,ATP2B2/CDH23,0.7162550687789917,0.9688287973403931
dd007,0.18,0.0,0.2,0.0,0,1,TD,886,Usher syndrome,PCDH15/CDH23,0.7083035111427307,0.9975894093513489
dd008,0.18,0.0,0.2,0.0,0,1,TD,886,Usher syndrome,PCDH15/CDH23,0.7110145688056946,0.9804505109786987
dd009,0.18,0.0,0.2,0.0,0,1,CO,886,Usher syndrome,PCDH15/CDH23,0.7162550687789917,0.9688287973403931
dd010,0.09,1.0,0.11,1.0,0,0,TD,1505,Short rib-polydactyly syndrome,NEK1/DYNC2H1,0.29922616481781006,0.6494709849357605
dd011,0.27,1.0,0.54,1.0,1,0,CO,656,Familial idiopathic steroid-resistant nephrotic syndrome,NPHS2/NPHS1,0.5059295296669006,0.2743327021598816
dd012,0.21,0.292,0.13,1.0,0,0,UK,478,Kallmann syndrome,KAL1/PROKR2,0.23524057865142822,0.5914104580879211
dd013,0.24,0.292,0.79,1.0,0,0,CO,478,Kallmann syndrome,NSMF/FGFR1,0.26649290323257446,0.5460025668144226
dd014,0.24,0.0,0.79,1.0,0,1,UK,174590,Congenital hypogonadotropic hypogonadism,GNRHR/FGFR1,0.701777458190918,0.7975723147392273
dd015,0.21,0.292,0.13,1.0,0,0,UK,478,Kallmann syndrome,KAL1/PROKR2,0.22316427528858185,0.5847837924957275
dd016,0.24,0.292,0.21,0.292,0,0,UK,478,Kallmann syndrome,NSMF/KAL1,0.12684163451194763,0.7532944083213806
dd017,0.24,0.292,0.14,0.0,0,0,UK,478,Kallmann syndrome,NSMF/TACR3,0.10316110402345657,0.7855715155601501
dd018,0.79,1.0,0.13,1.0,0,0,CO,478,Kallmann syndrome,FGFR1/PROKR2,0.3456791937351227,0.6405960321426392
dd019,0.11,0.292,0.25,1.0,0,0,CO,238475,Familial hypercholanemia,BAAT/TJP2,0.23725774884223938,0.5644468069076538
dd020,0.11,0.292,0.25,1.0,0,0,CO,238475,Familial hypercholanemia,BAAT/TJP2,0.23725774884223938,0.5644468069076538
dd021,0.13,0.292,0.09,0.292,0,0,TD,174590,Congenital hypogonadotropic hypogonadism,OTUD4/RNF216,0.15644493699073792,0.7690150141716003
dd022,0.73,1.0,0.68,1.0,0,1,TD,388,Hirschsprung disease,EDNRB/RET,0.5703187584877014,0.7676342129707336
dd023,0.54,0.0,0.18,0.0,1,0,TD,2828,Young-onset Parkinson disease,PARK7/PINK1,0.5149205923080444,0.02466425485908985
dd024,0.48,0.0,0.18,0.0,1,0,CO,2828,Young-onset Parkinson disease,PARK2/PINK1,0.51101154088974,0.025708066299557686
dd026,0.41,0.0,0.62,0.0,0,1,CO,98977,Juvenile glaucoma,MYOC/CYP1B1,0.6700403690338135,1.0
dd027,0.41,0.0,0.62,0.0,0,1,TD,98976,Congenital glaucoma,MYOC/CYP1B1,0.6700403690338135,1.0
dd028,0.42,1.0,0.89,1.0,1,0,UK,352740,Ocular albinism with congenital sensorineural deafness,MITF/TYR,0.5291898250579834,0.2707022726535797
dd029,0.89,1.0,0.37,1.0,1,0,CO,55,Oculocutaneous albinism,TYR/OCA2,0.5488947629928589,0.32265448570251465
dd030,0.89,1.0,0.37,1.0,1,0,CO,55,Oculocutaneous albinism,TYR/OCA2,0.5443700551986694,0.3288569450378418
