,id,CADD1,CADD2,RecA,EssA,CADD3,CADD4,RecB,EssB,Path,DE,Pair,Name
0,dd001,4.301835,-1.0,0.34,0.0,3.5945660000000004,-1.0,0.3,1.0,1,CO,KCNQ1/KCNH2,Familial long QT syndrome
1,dd002,-0.106983,-1.0,0.16,1.0,5.409467,-1.0,0.51,1.0,1,TD,GJB3/GJB2,Non-syndromic genetic deafness
2,dd003,-0.724535,-1.0,0.16,1.0,5.409467,-1.0,0.51,1.0,1,TD,GJB3/GJB2,Non-syndromic genetic deafness
3,dd004,-0.724535,-1.0,0.16,1.0,4.71189,-1.0,0.51,1.0,1,TD,GJB3/GJB2,Non-syndromic genetic deafness
4,dd005,-1.701666,-1.0,0.2,1.0,2.796133,-1.0,0.44,0.0,0,TD,FOXI1/SLC26A4,Non-syndromic genetic deafness
5,dd006,3.2131279999999998,-1.0,0.18,1.0,4.221526,4.221526,0.2,0.0,0,CO,ATP2B2/CDH23,Non-syndromic genetic deafness
6,dd007,2.035732,-1.0,0.18,0.0,5.755788,-1.0,0.2,0.0,0,TD,PCDH15/CDH23,Usher syndrome
7,dd008,4.671952,-1.0,0.18,0.0,4.33649,-1.0,0.2,0.0,0,TD,PCDH15/CDH23,Usher syndrome
8,dd009,2.035732,-1.0,0.18,0.0,3.728343,-1.0,0.2,0.0,0,CO,PCDH15/CDH23,Usher syndrome
9,dd010,4.890472,-1.0,0.09,1.0,2.647904,-1.0,0.11,1.0,0,TD,NEK1/DYNC2H1,Short rib-polydactyly syndrome
10,dd011,4.4170940000000005,4.4170940000000005,0.27,1.0,4.278734,-1.0,0.54,1.0,1,CO,NPHS2/NPHS1,Familial idiopathic steroid-resistant nephrotic syndrome
11,dd012,2.232576,-1.0,0.21,0.7447552447552448,3.643036,-1.0,0.13,1.0,0,UK,KAL1/PROKR2,Kallmann syndrome
12,dd013,2.402044,-1.0,0.24,0.7447552447552448,4.361532,-1.0,0.79,1.0,0,CO,NSMF/FGFR1,Kallmann syndrome
13,dd014,2.436953,5.47245,0.24,1.0,3.162876,-1.0,0.79,1.0,0,UK,GNRHR/FGFR1,Congenital hypogonadotropic hypogonadism
14,dd015,3.114676,-1.0,0.21,0.7447552447552448,3.643036,-1.0,0.13,1.0,0,UK,KAL1/PROKR2,Kallmann syndrome
15,dd016,4.556775,-1.0,0.24,0.7447552447552448,2.220736,-1.0,0.21,0.6875,0,UK,NSMF/KAL1,Kallmann syndrome
16,dd017,-0.859406,-1.0,0.24,0.7447552447552448,7.542547,-1.0,0.14,0.0,0,UK,NSMF/TACR3,Kallmann syndrome
17,dd018,5.083552,-1.0,0.79,1.0,3.643036,-1.0,0.13,1.0,0,CO,FGFR1/PROKR2,Kallmann syndrome
18,dd019,3.369439,-1.0,0.11,0.7447552447552448,5.1112470000000005,5.1112470000000005,0.25,1.0,0,CO,BAAT/TJP2,Familial hypercholanemia
19,dd020,3.369439,3.369439,0.11,0.7447552447552448,5.1112470000000005,-1.0,0.25,1.0,0,CO,BAAT/TJP2,Familial hypercholanemia
20,dd021,3.603918,3.603918,0.13,0.7447552447552448,5.0033389999999995,5.0033389999999995,0.09,1.0,0,TD,OTUD4/RNF216,Congenital hypogonadotropic hypogonadism
21,dd022,0.89946,-1.0,0.73,1.0,0.38366,-1.0,0.68,1.0,0,TD,EDNRB/RET,Hirschsprung disease
22,dd023,-0.224473,-1.0,0.54,0.0,5.214822,-1.0,0.18,0.0,1,TD,PARK7/PINK1,Young-onset Parkinson disease
23,dd024,5.35657,5.35657,0.48,1.0,-0.676093,-1.0,0.18,0.0,1,CO,PARK2/PINK1,Young-onset Parkinson disease
24,dd026,4.014044999999999,-1.0,0.41,0.0,4.585069,-1.0,0.62,0.0,0,CO,MYOC/CYP1B1,Juvenile glaucoma
25,dd027,1.529561,-1.0,0.41,0.0,4.585069,-1.0,0.62,0.0,0,TD,MYOC/CYP1B1,Congenital glaucoma
26,dd028,6.123654,-1.0,0.42,1.0,5.013726,-1.0,0.89,1.0,1,UK,MITF/TYR,Ocular albinism with congenital sensorineural deafness
27,dd029,2.8568540000000002,5.013726,0.89,1.0,5.176749,-1.0,0.37,1.0,1,CO,TYR/OCA2,Oculocutaneous albinism
28,dd030,0.0017460000000000002,-1.0,0.89,1.0,0.9962340000000001,0.9962340000000001,0.37,1.0,1,CO,TYR/OCA2,Oculocutaneous albinism
29,dd031,9.115555,10.972158,0.28,1.0,5.5190779999999995,-1.0,0.33,1.0,1,UK,COL17A1/LAMB3,Junctional epidermolysis bullosa
30,dd032,4.8994620000000015,-1.0,0.35,1.0,3.7133010000000004,-1.0,0.42,1.0,1,CO,FGG/FGA,Familial dysfibrinogenemia
31,dd033,3.9574239999999996,-1.0,0.43,1.0,3.9834940000000003,4.418069999999998,0.27,0.0,1,CO,SLC3A1/SLC7A9,Cystinuria
32,dd034,3.9574239999999996,-1.0,0.43,1.0,4.418069999999998,4.418069999999998,0.27,0.0,1,CO,SLC3A1/SLC7A9,Cystinuria
33,dd035,3.9574239999999996,-1.0,0.43,1.0,4.418069999999998,-1.0,0.27,0.0,1,CO,SLC3A1/SLC7A9,Cystinuria
34,dd036,4.16287,3.9574239999999996,0.43,1.0,4.418069999999998,-1.0,0.27,0.0,1,CO,SLC3A1/SLC7A9,Cystinuria
35,dd037,4.5849779999999996,-1.0,0.21,1.0,3.3458589999999995,-1.0,0.1,1.0,1,CO,FZD4/LRP5,Familial exudative vitreoretinopathy
36,dd038,0.11939000000000001,-1.0,0.54,0.0,4.333499,4.333499,0.99,1.0,1,CO,EMD/LMNA,Emery-Dreifuss muscular dystrophy
37,dd039,5.498673,-1.0,0.54,0.0,0.08422400000000001,-1.0,0.99,1.0,1,CO,EMD/LMNA,Emery-Dreifuss muscular dystrophy
38,dd040,3.7738,-1.0,0.16,0.0,6.1836910000000005,-1.0,0.09,1.0,0,CO,GDAP1/MFN2,Charcot-Marie-Tooth disease
39,dd041,4.361712000000002,-1.0,0.56,0.7447552447552448,5.0882580000000015,-1.0,0.14,0.0,1,CO,ALAD/CPOX,Porphyria
