features, sen, spe, acc, bac, pre, mcc, auc
000000001, 0.75, 0.64, 0.66, 0.69, 0.38, 0.32, 0.36
000000011, 0.71, 0.78, 0.75, 0.75, 0.75, 0.5, 0.66
000000101, 0.61, 0.78, 0.68, 0.69, 0.8, 0.38, 0.74
000000111, 0.72, 0.79, 0.76, 0.76, 0.75, 0.51, 0.81
000100001, 0.75, 0.64, 0.66, 0.69, 0.38, 0.32, 0.43
000100011, 0.72, 0.75, 0.73, 0.73, 0.68, 0.46, 0.73
000100101, 0.71, 0.78, 0.75, 0.75, 0.75, 0.5, 0.77
000100111, 0.75, 0.83, 0.79, 0.79, 0.8, 0.58, 0.84
001000001, 0.67, 0.72, 0.7, 0.7, 0.66, 0.4, 0.77
001000011, 0.76, 0.8, 0.78, 0.78, 0.75, 0.56, 0.83
001000101, 0.68, 0.79, 0.73, 0.73, 0.77, 0.47, 0.78
001000111, 0.74, 0.77, 0.76, 0.76, 0.71, 0.51, 0.83
001100001, 0.69, 0.7, 0.69, 0.69, 0.59, 0.38, 0.74
001100011, 0.81, 0.74, 0.77, 0.78, 0.62, 0.53, 0.76
001100101, 0.76, 0.79, 0.77, 0.77, 0.73, 0.54, 0.83
001100111, 0.74, 0.84, 0.79, 0.79, 0.82, 0.58, 0.86
010000001, 0.68, 0.65, 0.66, 0.66, 0.48, 0.31, 0.45
010000011, 0.7, 0.78, 0.74, 0.74, 0.75, 0.48, 0.65
010000101, 0.65, 0.78, 0.71, 0.71, 0.77, 0.43, 0.74
010000111, 0.73, 0.77, 0.75, 0.75, 0.71, 0.49, 0.79
010100001, 0.65, 0.62, 0.63, 0.63, 0.39, 0.24, 0.52
010100011, 0.76, 0.76, 0.76, 0.76, 0.68, 0.51, 0.68
010100101, 0.7, 0.76, 0.73, 0.73, 0.71, 0.46, 0.77
010100111, 0.69, 0.88, 0.77, 0.79, 0.89, 0.57, 0.82
111111111, 0.66, 0.79, 0.72, 0.72, 0.79, 0.45, 0.8
