features,Sen_DD,Sen_std_DD,Sen_CO,Sen_std_CO,Sen_TD,Sen_std_TD,Spe_DD,Spe_std_DD,Spe_CO,Spe_std_CO,Spe_TD,Spe_std_TD,geom_mean,geom_mean_std
"f000000010",0.270000,0.000000,0.703000,0.032078,0.570000,0.000000,0.768200,0.060023,0.384000,0.011489,0.660000,0.000000,0.525522,0.000000
"f000000011",0.830000,0.000000,0.495600,0.014988,0.500000,0.000000,0.600000,0.000000,0.545200,0.004996,0.660400,0.009992,0.595135,0.000000
"f000000100",0.633000,0.011705,0.408000,0.010954,0.509000,0.038013,0.576400,0.018629,0.451200,0.025428,0.510200,0.021586,0.509256,0.019183
"f000000101",0.674400,0.011859,0.510000,0.021817,0.559400,0.031900,0.631000,0.017578,0.555600,0.021275,0.551600,0.017362,0.577791,0.019417
"f000000110",0.562400,0.012257,0.500800,0.037515,0.628200,0.013068,0.504800,0.018787,0.575200,0.020999,0.622200,0.009009,0.563351,0.016657
"f000000111",0.715000,0.016155,0.491600,0.028591,0.631000,0.021471,0.647600,0.006499,0.581000,0.024352,0.605600,0.018885,0.608045,0.017592
"f000001000",0.150000,0.000000,0.070000,0.000000,0.903200,0.038181,0.609600,0.008237,0.559200,0.099817,0.381400,0.011834,0.327462,0.000000
"f000001001",0.150600,0.003105,0.570000,0.000000,0.308200,0.026585,0.222000,0.014000,0.567800,0.004600,0.243400,0.015825,0.305422,0.000000
"f000001010",0.390000,0.000000,0.701600,0.013470,0.537200,0.004490,0.734400,0.008980,0.407200,0.004490,0.664400,0.008980,0.554937,0.000033
"f000001011",0.803000,0.006708,0.444600,0.010433,0.457800,0.010448,0.578800,0.005528,0.488000,0.009165,0.609000,0.010440,0.551427,0.008536
"f000001100",0.578600,0.015493,0.513600,0.026740,0.556000,0.038523,0.535400,0.026398,0.533800,0.026600,0.576800,0.019641,0.548521,0.024572
"f000001101",0.639200,0.019374,0.511600,0.018260,0.509000,0.029069,0.578000,0.019391,0.538400,0.019734,0.532600,0.018634,0.549693,0.020459
"f000001110",0.609200,0.017982,0.513600,0.040237,0.581000,0.012042,0.508800,0.020846,0.587800,0.020424,0.615800,0.012663,0.567714,0.018995
"f000001111",0.710400,0.017545,0.511600,0.022747,0.577400,0.015207,0.643000,0.009849,0.536000,0.019287,0.604400,0.016752,0.593520,0.016380
