DidaID,CADD1,CADD2,RecA,EssA,CADD3,CADD4,RecB,EssB,Path,DE,Pair
dd001,19.17,38.0,0.3367,0.0,24.1,0.0,0.2975,1.0,1,CO,KCNQ1/KCNH2
dd002,20.6,20.6,0.16399999999999998,1.0,4.702,0.0,0.5056,1.0,1,TD,GJB2/GJB3
dd003,11.11,11.11,0.16399999999999998,1.0,21.9,0.0,0.5056,1.0,1,TD,GJB2/GJB3
dd004,24.5,24.5,0.16399999999999998,1.0,27.8,0.0,0.5056,1.0,1,TD,GJB3/GJB2
dd005,15.49,32.0,0.1996,1.0,36.0,0.0,0.4388,0.0,0,TD,SLC26A4/FOXI1
dd006,4.349,4.349,0.1804,0.0,21.1,0.0,0.203,0.0,0,CO,CDH23/ATP2B2
dd007,38.0,38.0,0.1784,0.0,10.31,0.0,0.203,0.0,0,TD,PCDH15/CDH23
dd008,15.49,15.49,0.1784,0.0,6.028,0.0,0.203,0.0,0,TD,PCDH15/CDH23
dd009,17.75,17.75,0.1784,0.0,16.69,0.0,0.203,0.0,0,CO,PCDH15/CDH23
dd010,16.69,0.0,0.0929,1.0,18.34,0.0,0.1062,1.0,0,TD,NEK1/DYNC2H1
dd011,27.2,0.0,0.2665,1.0,18.34,0.0,0.535,1.0,1,CO,NPHS1/NPHS2
dd012,13.42,0.0,0.21,0.292,18.53,0.0,0.13,1.0,0,UK,KAL1/PROKR2
dd013,21.1,0.0,0.23800000000000002,0.0,18.34,0.0,0.7859999999999999,1.0,0,CO,FGFR1/NSMF
dd014,14.11,35.0,0.24,0.0,16.58,0.0,0.79,1.0,0,UK,FGFR1/GNRHR
dd015,16.41,0.0,0.21,0.292,18.53,0.0,0.13,1.0,0,UK,KAL1/PROKR2
dd016,24.7,0.0,0.24,0.292,13.38,0.0,0.21,0.292,0,UK,KAL1/NSMF
dd017,0.527,0.0,0.24,0.292,39.0,0.0,0.14,0.0,0,UK,NSMF/TACR3
dd018,35.0,0.0,0.7859999999999999,1.0,34.0,0.0,0.1337,1.0,0,CO,PROKR2/FGFR1
